Team Name,Year,Wins,losses,Win %,OT Losses,Goals For (GF),Goals Against (GA),Differrence
New York Islanders,2005,36,40,0.439,6,230,278,-48
New York Rangers,2005,44,26,0.537,12,257,215,42
Ottawa Senators,2005,52,21,0.634,9,314,211,103
Philadelphia Flyers,2005,45,26,0.549,11,267,259,8
Phoenix Coyotes,2005,38,39,0.463,5,246,271,-25
Pittsburgh Penguins,2005,22,46,0.268,14,244,316,-72
San Jose Sharks,2005,44,27,0.537,11,266,242,24
St. Louis Blues,2005,21,46,0.256,15,197,292,-95
Tampa Bay Lightning,2005,43,33,0.524,6,252,260,-8
Toronto Maple Leafs,2005,41,33,0.5,8,257,270,-13
Vancouver Canucks,2005,42,32,0.512,8,256,255,1
Washington Capitals,2005,29,41,0.354,12,237,306,-69
Anaheim Ducks,2006,48,20,0.585,14,258,208,50
Atlanta Thrashers,2006,43,28,0.524,11,246,245,1
Boston Bruins,2006,35,41,0.427,6,219,289,-70
Buffalo Sabres,2006,53,22,0.646,7,308,242,66
Calgary Flames,2006,43,29,0.524,10,258,226,32
Carolina Hurricanes,2006,40,34,0.488,8,241,253,-12
Columbus Blue Jackets,2006,33,42,0.402,7,201,249,-48
Chicago Blackhawks,2006,31,42,0.378,9,201,258,-57
Colorado Avalanche,2006,44,31,0.537,7,272,251,21
Dallas Stars,2006,50,25,0.61,7,226,197,29
Detroit Red Wings,2006,50,19,0.61,13,254,199,55
Edmonton Oilers,2006,32,43,0.39,7,195,248,-53
Florida Panthers,2006,35,31,0.427,16,247,257,-10
Los Angeles Kings,2006,27,41,0.329,14,227,283,-56
Minnesota Wild,2006,48,26,0.585,8,235,191,44
Montreal Canadiens,2006,42,34,0.512,6,245,256,-11
Nashville Predators,2006,51,23,0.622,8,272,212,60
New Jersey Devils,2006,49,24,0.598,9,216,201,15
New York Islanders,2006,40,30,0.488,12,248,240,8
New York Rangers,2006,42,30,0.512,10,242,216,26
Ottawa Senators,2006,48,25,0.585,9,288,222,66
Philadelphia Flyers,2006,22,48,0.268,12,214,303,-89
Phoenix Coyotes,2006,31,46,0.378,5,216,284,-68
Pittsburgh Penguins,2006,47,24,0.573,11,277,246,31
San Jose Sharks,2006,51,26,0.622,5,258,199,59
St. Louis Blues,2006,34,35,0.415,13,214,254,-40
Tampa Bay Lightning,2006,44,33,0.537,5,253,261,-8
Toronto Maple Leafs,2006,40,31,0.488,11,258,269,-11
Vancouver Canucks,2006,49,26,0.598,7,222,201,21
Washington Capitals,2006,28,40,0.341,14,235,286,-51
Anaheim Ducks,2007,47,27,0.573,8,205,191,14
Atlanta Thrashers,2007,34,40,0.415,8,216,272,-56
Boston Bruins,2007,41,29,0.5,12,212,222,-10
Buffalo Sabres,2007,39,31,0.476,12,255,242,13
Calgary Flames,2007,42,30,0.512,10,229,227,2
Carolina Hurricanes,2007,43,33,0.524,6,252,249,3
Columbus Blue Jackets,2007,34,36,0.415,12,193,218,-25
Chicago Blackhawks,2007,40,34,0.488,8,239,235,4
Colorado Avalanche,2007,44,31,0.537,7,231,219,12
Dallas Stars,2007,45,30,0.549,7,242,207,35
Detroit Red Wings,2007,54,21,0.659,7,257,184,73
Edmonton Oilers,2007,41,35,0.5,6,235,251,-16
Florida Panthers,2007,38,35,0.463,9,216,226,-10
Los Angeles Kings,2007,32,43,0.39,7,231,266,-35
Minnesota Wild,2007,44,28,0.537,10,223,218,5
Montreal Canadiens,2007,47,25,0.573,10,262,222,40
Nashville Predators,2007,41,32,0.5,9,230,229,1
New Jersey Devils,2007,46,29,0.561,7,206,197,9
New York Islanders,2007,35,38,0.427,9,194,243,-49
New York Rangers,2007,42,27,0.512,13,213,199,14
Ottawa Senators,2007,43,31,0.524,8,261,247,14
Philadelphia Flyers,2007,42,29,0.512,11,248,233,15
Phoenix Coyotes,2007,38,37,0.463,7,214,231,-17
Pittsburgh Penguins,2007,47,27,0.573,8,247,216,31
San Jose Sharks,2007,49,23,0.598,10,222,193,29
St. Louis Blues,2007,33,36,0.402,13,205,237,-32
Tampa Bay Lightning,2007,31,42,0.378,9,223,267,-44
Toronto Maple Leafs,2007,36,35,0.439,11,231,260,-29
Vancouver Canucks,2007,39,33,0.476,10,213,215,-2
Washington Capitals,2007,43,31,0.524,8,242,231,11
Anaheim Ducks,2008,42,33,0.512,7,245,238,7
Atlanta Thrashers,2008,35,41,0.427,6,257,280,-23
Boston Bruins,2008,53,19,0.646,10,274,196,78
Buffalo Sabres,2008,41,32,0.5,9,250,234,16
Calgary Flames,2008,46,30,0.561,6,254,248,6
Carolina Hurricanes,2008,45,30,0.549,7,239,226,13
Columbus Blue Jackets,2008,41,31,0.5,10,226,230,-4
Chicago Blackhawks,2008,46,24,0.561,12,264,216,48
Colorado Avalanche,2008,32,45,0.39,5,199,257,-58
Dallas Stars,2008,36,35,0.439,11,230,257,-27
Detroit Red Wings,2008,51,21,0.622,10,295,244,51
Edmonton Oilers,2008,38,35,0.463,9,234,248,-14
Florida Panthers,2008,41,30,0.5,11,234,231,3
Los Angeles Kings,2008,34,37,0.415,11,207,234,-27
Minnesota Wild,2008,40,33,0.488,9,219,200,19
Montreal Canadiens,2008,41,30,0.5,11,249,247,2
Nashville Predators,2008,40,34,0.488,8,213,233,-20
New Jersey Devils,2008,51,27,0.622,4,244,209,35
New York Islanders,2008,26,47,0.317,9,201,279,-78
New York Rangers,2008,43,30,0.524,9,210,218,-8
Ottawa Senators,2008,36,35,0.439,11,217,237,-20
Philadelphia Flyers,2008,44,27,0.537,11,264,238,26
